Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,Buzzer_TDK_PS1240P02BT_D12.2mm_H6.5mm,1,Buzzer,
C1,C_Disc_D5.0mm_W2.5mm_P5.00mm,1,100n,
"C2, C3, C4",C_Disc_D5.0mm_W2.5mm_P5.00mm,3,20n,
D1,LED_D5.0mm_Clear,1,PC7,
J1,PinSocket_1x08_P2.54mm_Vertical,1,PB,
J2,PinSocket_1x08_P2.54mm_Vertical,1,PA,
J3,PinSocket_1x08_P2.54mm_Vertical,1,PC,
J4,PinSocket_1x08_P2.54mm_Vertical,1,KEYPAD,
J5,PinSocket_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
"Q1, Q2, Q3, Q4, Q5, Q6",TO-92_Inline,6,2N3906,
"Q10, Q11, Q12, Q7, Q8, Q9",TO-92_Inline,6,2SA1015,
"R1, R2, R3, R4, R5, R6, R7, R8",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,8,220,
R10,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R10,
R11,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,R11,
R12,R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,1,Rf,
"R13, R14, R15",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,3,10k,
"R16, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,2,330,
RN1,R_Array_SIP9,1,10k,
SW1,SW_Kailh_Choc_V1,1,RESET,
SW10,SW_Kailh_Choc_V1,1,8,
SW11,SW_Kailh_Choc_V1,1,4,
SW12,SW_Kailh_Choc_V1,1,0,
SW13,SW_Kailh_Choc_V1,1,D,
SW14,SW_Kailh_Choc_V1,1,9,
SW15,SW_Kailh_Choc_V1,1,5,
SW16,SW_Kailh_Choc_V1,1,1,
SW17,SW_Kailh_Choc_V1,1,E,
SW18,SW_Kailh_Choc_V1,1,A,
SW19,SW_Kailh_Choc_V1,1,6,
SW2,SW_Kailh_Choc_V1,1,TO TAPE,
SW20,SW_Kailh_Choc_V1,1,2,
SW21,SW_Kailh_Choc_V1,1,F,
SW22,SW_Kailh_Choc_V1,1,B,
SW23,SW_Kailh_Choc_V1,1,7,
SW24,SW_Kailh_Choc_V1,1,3,
SW3,SW_Kailh_Choc_V1,1,FROM TAPE,
SW4,SW_Kailh_Choc_V1,1,GO,
SW5,SW_Kailh_Choc_V1,1,ADDR,
SW6,SW_Kailh_Choc_V1,1,DATA,
SW7,SW_Kailh_Choc_V1,1,-,
SW8,SW_Kailh_Choc_V1,1,+,
SW9,SW_Kailh_Choc_V1,1,C,
TP1,PinHeader_1x01_P2.54mm_Vertical,1,AUDIO OUT,
TP2,PinHeader_1x01_P2.54mm_Vertical,1,AUDIO IN,
"TP3, TP4",PinHeader_1x01_P2.54mm_Vertical,2,GND,
"U1, U2",D1X8K,2,D148K,
U3,CA56-12EWA,1,CC56-12EWA,
U4,DIP-8_W7.62mm_LongPads,1,MCP6002-xP,
