Designator,Mid X,Mid Y,Rotation,Layer
BZ1,94.064784,-56.515,0.0,top
C1,85.979,-134.66,90.0,top
C2,95.885,-66.635,270.0,top
C3,89.154,-79.796,90.0,top
C4,85.979,-142.24,270.0,top
D1,95.245,-45.72,180.0,top
J1,179.085,-144.805,90.0,bottom
J2,133.365,-144.805,90.0,bottom
J3,156.225,-144.805,90.0,bottom
J4,159.766,-64.77,90.0,top
J5,116.825,-144.755,270.0,bottom
Q1,98.933001,-88.752,180.0,top
Q10,91.567002,-107.294,180.0,top
Q11,91.567002,-113.390001,180.0,top
Q12,91.567001,-119.486,180.0,top
Q2,98.933001,-95.102,180.0,top
Q3,98.933001,-101.198,180.0,top
Q4,98.933001,-107.294,180.0,top
Q5,98.933001,-113.39,180.0,top
Q6,98.933001,-119.486,180.0,top
Q7,91.567002,-88.752,180.0,top
Q8,91.567001,-94.996,180.0,top
Q9,91.567002,-101.198,180.0,top
R1,197.485,-131.699,90.0,top
R10,100.33,-134.239,270.0,top
R11,93.218,-126.111,0.0,top
R12,103.505,-134.239,270.0,top
R13,95.885,-77.216,90.0,top
R14,92.456,-77.216,270.0,top
R15,85.852,-77.216,270.0,top
R16,94.869,-141.986,180.0,top
R2,178.689,-74.549,90.0,top
R3,178.689,-93.599,90.0,top
R4,178.689,-131.699,90.0,top
R5,197.485,-74.676,90.0,top
R6,197.485,-112.649,90.0,top
R7,197.485,-93.599,90.0,top
R8,178.689,-112.649,90.0,top
R9,85.979,-57.912,270.0,top
RN1,132.095,-142.113,0.0,top
SW1,106.68,-75.311,0.0,top
SW10,131.66,-94.234,0.0,top
SW11,131.66,-113.157,0.0,top
SW12,131.66,-131.953,0.0,top
SW13,150.495,-75.184,0.0,top
SW14,150.495,-94.234,0.0,top
SW15,150.495,-113.157,0.0,top
SW16,150.495,-131.953,0.0,top
SW17,169.291,-75.184,0.0,top
SW18,169.291,-94.234,0.0,top
SW19,169.291,-113.157,0.0,top
SW2,112.903,-94.234,0.0,top
SW20,169.291,-131.953,0.0,top
SW21,188.087,-75.184,0.0,top
SW22,188.087,-94.234,0.0,top
SW23,188.087,-113.157,0.0,top
SW24,188.087,-131.953,0.0,top
SW3,112.903,-113.157,0.0,top
SW4,112.903,-131.953,0.0,top
SW5,206.883,-75.184,0.0,top
SW6,206.883,-94.234,0.0,top
SW7,206.883,-113.157,0.0,top
SW8,206.883,-131.953,0.0,top
SW9,131.66,-75.184,0.0,top
TP1,91.185999,-66.802,90.0,top
TP2,97.282,-146.939,270.0,top
TP3,86.106,-66.802,90.0,top
TP4,92.202,-146.939001,270.0,top
U1,168.91,-50.8,90.0,top
U2,182.88,-50.8,90.0,top
U3,135.89,-50.9425,90.0,top
U4,93.076,-133.36,180.0,top
